cellId,ÉÏÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÏÂÐÐÐ¡ÇøÁ÷Á¿£¨MB£©,ÊÇ·ñÎªµÀÂ·Ð¡Çø
460-00-661541-12,333.9647217,4008.857544,·ñ
460-00-703868-11,44.36779785,661.0557861,·ñ
460-00-661440-12,94.17346191,1080.257568,·ñ
460-00-661667-12,268.8499756,1669.04248,·ñ
460-00-708494-21,198.2543945,241.1136475,·ñ
460-00-661492-13,143.0096436,1318.397339,·ñ
460-00-203049-132,31.11669922,383.1849365,ÊÇ
460-00-661704-12,228.3150635,1260.356567,·ñ
460-00-703572-12,49.19165039,682.3204346,·ñ
460-00-718615-12,143.2199707,3236.112549,·ñ
460-00-703581-12,26.95617676,185.0626221,·ñ
460-00-661707-11,246.5496826,1085.676392,·ñ
460-00-718786-12,86.24353027,883.3603516,·ñ
460-00-704585-11,385.638916,3203.282837,·ñ
460-00-661364-13,96.95861816,495.788208,·ñ
460-00-704611-12,0,0,·ñ
460-00-661514-13,42.60083008,263.5484619,·ñ
460-00-661313-113,344.5655518,2328.607666,·ñ
460-00-661476-12,23.83215332,145.763916,·ñ
460-00-703890-12,67.24194336,329.7435303,·ñ
460-00-661654-11,56.21142578,319.2232666,·ñ
460-00-703975-12,86.7265625,701.3249512,·ñ
460-00-718511-12,118.4705811,1348.921631,·ñ
460-00-661737-12,85.68261719,963.260498,·ñ
460-00-661544-13,260.746582,2468.383789,·ñ
460-00-661610-121,32.96032715,440.4000244,·ñ
460-00-661546-13,270.8984375,3360.812866,·ñ
460-00-661747-12,528.3358154,4658.45166,·ñ
460-00-703741-12,14.10058594,82.81787109,·ñ
460-00-703774-11,325.6235352,2514.029785,·ñ
460-00-703987-21,1307.632324,12725.87769,·ñ
460-00-661552-12,375.0358887,4080.262573,·ñ
460-00-703896-13,106.6116943,1056.865601,·ñ
460-00-719028-11,67.57519531,769.8504639,·ñ
460-00-661275-11,792.7998047,6216.615723,·ñ
460-00-718527-12,118.8518066,1325.962036,·ñ
460-00-704538-121,820.9897461,12109.96741,·ñ
460-00-661715-11,45.36999512,409.1381836,·ñ
460-00-661299-11,70.27404785,421.024292,·ñ
460-00-703749-11,64.77380371,406.7344971,·ñ
460-00-708511-21,111.2458496,1069.023682,·ñ
460-00-703558-13,181.4731445,1402.173584,·ñ
460-00-703580-13,5.969238281,10.01013184,·ñ
460-00-661673-13,21.59326172,127.2420654,·ñ
460-00-661584-12,130.3674316,1878.843384,·ñ
460-00-718721-21,75.19580078,832.2807617,·ñ
460-00-718652-11,48.99047852,911.1984863,·ñ
460-00-703884-12,222.260376,1698.550171,·ñ
460-00-703529-13,322.8823242,2655.584839,·ñ
460-00-661358-11,98.82275391,816.1157227,·ñ
460-00-708546-12,52.58129883,236.4869385,·ñ
460-00-661314-11,47.80297852,341.1774902,·ñ
460-00-661325-12,361.9163818,2827.89563,·ñ
460-00-661687-12,52.24279785,294.8115234,·ñ
460-00-661711-13,32.84155273,191.532959,·ñ
460-00-718403-13,37.78344727,313.0396729,·ñ
460-00-661431-12,53.97106934,558.9915771,·ñ
460-00-703601-12,172.8638916,1389.392456,·ñ
460-00-661253-112,641.9326172,7824.349243,·ñ
460-00-719049-11,7.793823242,26.89685059,·ñ
460-00-708516-12,53.40185547,394.7591553,·ñ
460-00-203371-133,61.51147461,556.5980225,ÊÇ
460-00-718636-13,109.1627197,1184.768799,·ñ
460-00-661757-13,235.3806152,2786.040527,·ñ
460-00-708480-21,212.6981201,1864.556152,·ñ
460-00-708421-21,111.8843994,785.4085693,·ñ
460-00-703705-13,94.84106445,373.0635986,·ñ
460-00-661384-11,182.0010986,1223.836304,·ñ
460-00-704559-21,33.61328125,983.7982178,·ñ
460-00-703762-12,18.70800781,167.7283936,·ñ
460-00-661291-12,61.82373047,394.894165,·ñ
460-00-703644-12,158.729126,889.7104492,·ñ
460-00-703951-12,161.3686523,1132.92749,·ñ
460-00-703776-13,76.08935547,330.5246582,·ñ
460-00-203056-133,258.0438232,2866.846191,·ñ
460-00-661429-12,350.9405518,2989.606079,·ñ
460-00-661458-11,191.6368408,1817.307373,·ñ
